Logging to file...
Dataset samples: 18801
######################Training Started######################
epoch   1 | iteration    20 | Loss 4.298243 | Acc 31.25% | WER 68.75%
epoch   1 | iteration    40 | Loss 3.554516 | Acc 31.25% | WER 68.75%
epoch   1 | iteration    60 | Loss 4.283152 | Acc 25.00% | WER 75.00%
epoch   1 | iteration    80 | Loss 3.584360 | Acc 18.75% | WER 81.25%
epoch   1 | iteration   100 | Loss 3.764351 | Acc 34.38% | WER 65.62%
epoch   1 | iteration   120 | Loss 3.551202 | Acc 37.50% | WER 62.50%
epoch   1 | iteration   140 | Loss 3.810347 | Acc 21.88% | WER 78.12%
epoch   1 | iteration   160 | Loss 3.482894 | Acc 21.88% | WER 78.12%
epoch   1 | iteration   180 | Loss 4.362882 | Acc 9.38% | WER 90.62%
