Logging to file...
Dataset samples: 20654
######################Training Started######################
epoch   1 | iteration   100 | Loss 2.566737 | Acc 70.00% | WER 84.72% | BLEU-4 0.00
epoch   1 | iteration   200 | Loss 2.157544 | Acc 75.00% | WER 74.18% | BLEU-4 0.00
epoch   1 | iteration   300 | Loss 1.652325 | Acc 81.67% | WER 72.32% | BLEU-4 0.00
epoch   1 | iteration   400 | Loss 1.596325 | Acc 81.67% | WER 50.85% | BLEU-4 0.00
epoch   1 | iteration   500 | Loss 2.238394 | Acc 71.67% | WER 66.36% | BLEU-4 0.00
epoch   1 | iteration   600 | Loss 3.332118 | Acc 61.67% | WER 71.21% | BLEU-4 0.00
epoch   1 | iteration   700 | Loss 1.566603 | Acc 83.33% | WER 58.44% | BLEU-4 0.00
epoch   1 | iteration   800 | Loss 2.814594 | Acc 66.67% | WER 68.81% | BLEU-4 0.00
epoch   1 | iteration   900 | Loss 1.828432 | Acc 78.33% | WER 77.86% | BLEU-4 0.00
epoch   1 | iteration  1000 | Loss 1.491018 | Acc 81.67% | WER 62.50% | BLEU-4 0.00
epoch   1 | iteration  1100 | Loss 1.779883 | Acc 78.33% | WER 68.33% | BLEU-4 0.00
epoch   1 | iteration  1200 | Loss 1.369681 | Acc 83.33% | WER 48.61% | BLEU-4 0.00
epoch   1 | iteration  1300 | Loss 1.348108 | Acc 83.33% | WER 69.44% | BLEU-4 0.00
epoch   1 | iteration  1400 | Loss 1.485466 | Acc 83.33% | WER 41.92% | BLEU-4 7.46
epoch   1 | iteration  1500 | Loss 2.000336 | Acc 76.67% | WER 60.77% | BLEU-4 0.00
epoch   1 | iteration  1600 | Loss 1.518610 | Acc 83.33% | WER 50.51% | BLEU-4 0.00
epoch   1 | iteration  1700 | Loss 1.845338 | Acc 76.67% | WER 59.62% | BLEU-4 0.00
epoch   1 | iteration  1800 | Loss 2.634342 | Acc 71.67% | WER 71.80% | BLEU-4 0.00
epoch   1 | iteration  1900 | Loss 1.151378 | Acc 85.00% | WER 53.47% | BLEU-4 0.00
epoch   1 | iteration  2000 | Loss 1.793782 | Acc 83.33% | WER 33.41% | BLEU-4 22.69
epoch   1 | iteration  2100 | Loss 1.034919 | Acc 86.67% | WER 52.78% | BLEU-4 0.00
epoch   1 | iteration  2200 | Loss 1.592724 | Acc 83.33% | WER 47.73% | BLEU-4 0.00
epoch   1 | iteration  2300 | Loss 1.119594 | Acc 86.67% | WER 45.83% | BLEU-4 0.00
epoch   1 | iteration  2400 | Loss 1.662414 | Acc 81.67% | WER 47.35% | BLEU-4 18.75
epoch   1 | iteration  2500 | Loss 1.036088 | Acc 88.33% | WER 43.65% | BLEU-4 20.83
epoch   1 | iteration  2600 | Loss 1.324532 | Acc 85.00% | WER 61.11% | BLEU-4 0.00
epoch   1 | iteration  2700 | Loss 1.398537 | Acc 85.00% | WER 29.57% | BLEU-4 20.00
epoch   1 | iteration  2800 | Loss 0.896013 | Acc 91.67% | WER 19.81% | BLEU-4 35.65
epoch   1 | iteration  2900 | Loss 1.157159 | Acc 86.67% | WER 38.10% | BLEU-4 4.55
epoch   1 | iteration  3000 | Loss 1.371628 | Acc 85.00% | WER 37.50% | BLEU-4 7.69
epoch   1 | iteration  3100 | Loss 0.766325 | Acc 95.00% | WER 13.33% | BLEU-4 38.10
epoch   1 | iteration  3200 | Loss 1.384649 | Acc 86.67% | WER 28.57% | BLEU-4 18.18
epoch   1 | iteration  3300 | Loss 2.182644 | Acc 75.00% | WER 58.89% | BLEU-4 8.33
epoch   1 | iteration  3400 | Loss 1.307466 | Acc 83.33% | WER 45.00% | BLEU-4 0.00
epoch   1 | iteration  3500 | Loss 1.924177 | Acc 78.33% | WER 39.57% | BLEU-4 0.00
epoch   1 | iteration  3600 | Loss 1.455227 | Acc 83.33% | WER 53.98% | BLEU-4 0.00
epoch   1 | iteration  3700 | Loss 1.192919 | Acc 90.00% | WER 28.64% | BLEU-4 18.75
epoch   1 | iteration  3800 | Loss 1.299750 | Acc 90.00% | WER 29.67% | BLEU-4 10.00
epoch   1 | iteration  3900 | Loss 0.867609 | Acc 93.33% | WER 26.67% | BLEU-4 14.29
epoch   1 | iteration  4000 | Loss 1.444063 | Acc 83.33% | WER 35.59% | BLEU-4 0.00
epoch   1 | iteration  4100 | Loss 0.496834 | Acc 93.33% | WER 40.00% | BLEU-4 0.00
epoch   1 | iteration  4200 | Loss 0.582186 | Acc 95.00% | WER 13.85% | BLEU-4 44.29
epoch   1 | iteration  4300 | Loss 1.400707 | Acc 91.67% | WER 17.07% | BLEU-4 36.23
epoch   1 | iteration  4400 | Loss 0.683600 | Acc 91.67% | WER 35.00% | BLEU-4 0.00
epoch   1 | iteration  4500 | Loss 0.642487 | Acc 95.00% | WER 17.14% | BLEU-4 39.29
epoch   1 | iteration  4600 | Loss 0.561576 | Acc 95.00% | WER 20.83% | BLEU-4 33.33
epoch   1 | iteration  4700 | Loss 1.685733 | Acc 81.67% | WER 44.16% | BLEU-4 0.00
epoch   1 | iteration  4800 | Loss 0.368102 | Acc 95.00% | WER 17.36% | BLEU-4 29.39
epoch   1 | iteration  4900 | Loss 1.260292 | Acc 88.33% | WER 32.94% | BLEU-4 13.64
epoch   1 | iteration  5000 | Loss 0.892780 | Acc 91.67% | WER 21.67% | BLEU-4 25.00
epoch   1 | iteration  5100 | Loss 1.018762 | Acc 91.67% | WER 16.67% | BLEU-4 29.17
epoch   1 | iteration  5200 | Loss 1.473731 | Acc 88.33% | WER 22.50% | BLEU-4 26.31
epoch   1 | iteration  5300 | Loss 1.373290 | Acc 85.00% | WER 29.43% | BLEU-4 25.00
epoch   1 | iteration  5400 | Loss 0.590883 | Acc 96.67% | WER 12.50% | BLEU-4 10.00
epoch   1 | iteration  5500 | Loss 1.675833 | Acc 85.00% | WER 26.54% | BLEU-4 15.88
epoch   1 | iteration  5600 | Loss 1.003101 | Acc 91.67% | WER 19.23% | BLEU-4 35.00
epoch   1 | iteration  5700 | Loss 1.134632 | Acc 91.67% | WER 24.04% | BLEU-4 25.00
epoch   1 | iteration  5800 | Loss 0.689225 | Acc 93.33% | WER 18.18% | BLEU-4 50.00
epoch   1 | iteration  5900 | Loss 1.346961 | Acc 85.00% | WER 43.01% | BLEU-4 10.71
epoch   1 | iteration  6000 | Loss 0.673103 | Acc 93.33% | WER 15.56% | BLEU-4 44.76
epoch   1 | iteration  6100 | Loss 0.811290 | Acc 91.67% | WER 25.00% | BLEU-4 13.89
epoch   1 | iteration  6200 | Loss 0.277874 | Acc 98.33% | WER 12.50% | BLEU-4 50.00
epoch   1 | iteration  6300 | Loss 0.350154 | Acc 96.67% | WER 11.81% | BLEU-4 26.67
