Logging to file...
Dataset samples: 20654
######################Training Started######################
epoch   1 | iteration   100 | Loss 1.525186 | Acc 81.67% | WER 81.67% | BLEU-4 0.00
epoch   1 | iteration   200 | Loss 1.836584 | Acc 76.67% | WER 78.46% | BLEU-4 0.00
epoch   1 | iteration   300 | Loss 3.138360 | Acc 63.33% | WER 81.53% | BLEU-4 0.00
epoch   1 | iteration   400 | Loss 3.335074 | Acc 60.00% | WER 80.56% | BLEU-4 0.00
epoch   1 | iteration   500 | Loss 3.055800 | Acc 61.67% | WER 73.92% | BLEU-4 0.00
epoch   1 | iteration   600 | Loss 1.707213 | Acc 80.00% | WER 66.67% | BLEU-4 0.00
epoch   1 | iteration   700 | Loss 1.865914 | Acc 76.67% | WER 63.64% | BLEU-4 0.00
epoch   1 | iteration   800 | Loss 1.479844 | Acc 85.00% | WER 52.78% | BLEU-4 0.00
epoch   1 | iteration   900 | Loss 1.833425 | Acc 80.00% | WER 54.70% | BLEU-4 0.00
epoch   1 | iteration  1000 | Loss 3.813012 | Acc 56.67% | WER 72.88% | BLEU-4 0.00
epoch   1 | iteration  1100 | Loss 1.714461 | Acc 80.00% | WER 60.42% | BLEU-4 4.17
epoch   1 | iteration  1200 | Loss 1.379769 | Acc 83.33% | WER 52.27% | BLEU-4 0.00
epoch   1 | iteration  1300 | Loss 2.195517 | Acc 75.00% | WER 54.17% | BLEU-4 0.00
epoch   1 | iteration  1400 | Loss 1.760883 | Acc 78.33% | WER 65.00% | BLEU-4 0.00
epoch   1 | iteration  1500 | Loss 1.766471 | Acc 80.00% | WER 57.14% | BLEU-4 0.00
epoch   1 | iteration  1600 | Loss 1.420250 | Acc 81.67% | WER 45.24% | BLEU-4 0.00
epoch   1 | iteration  1700 | Loss 1.910532 | Acc 76.67% | WER 53.85% | BLEU-4 0.00
epoch   1 | iteration  1800 | Loss 0.581896 | Acc 95.00% | WER 21.43% | BLEU-4 50.00
epoch   1 | iteration  1900 | Loss 1.286627 | Acc 85.00% | WER 43.75% | BLEU-4 0.00
epoch   1 | iteration  2000 | Loss 0.930852 | Acc 88.33% | WER 41.67% | BLEU-4 5.56
epoch   1 | iteration  2100 | Loss 1.864217 | Acc 75.00% | WER 60.71% | BLEU-4 0.00
epoch   1 | iteration  2200 | Loss 2.666117 | Acc 71.67% | WER 57.45% | BLEU-4 0.00
epoch   1 | iteration  2300 | Loss 1.633104 | Acc 81.67% | WER 37.98% | BLEU-4 10.00
epoch   1 | iteration  2400 | Loss 1.716896 | Acc 80.00% | WER 43.64% | BLEU-4 0.00
epoch   1 | iteration  2500 | Loss 1.565434 | Acc 83.33% | WER 46.67% | BLEU-4 12.50
epoch   1 | iteration  2600 | Loss 0.911327 | Acc 90.00% | WER 40.18% | BLEU-4 10.00
epoch   1 | iteration  2700 | Loss 2.331628 | Acc 73.33% | WER 48.16% | BLEU-4 7.69
epoch   1 | iteration  2800 | Loss 1.767158 | Acc 83.33% | WER 45.00% | BLEU-4 0.00
epoch   1 | iteration  2900 | Loss 0.579433 | Acc 95.00% | WER 15.00% | BLEU-4 50.00
epoch   1 | iteration  3000 | Loss 2.160253 | Acc 78.33% | WER 54.17% | BLEU-4 5.71
epoch   1 | iteration  3100 | Loss 1.401935 | Acc 83.33% | WER 43.08% | BLEU-4 0.00
epoch   1 | iteration  3200 | Loss 1.289671 | Acc 86.67% | WER 31.76% | BLEU-4 17.86
epoch   1 | iteration  3300 | Loss 0.885508 | Acc 90.00% | WER 37.50% | BLEU-4 20.00
epoch   1 | iteration  3400 | Loss 2.004817 | Acc 75.00% | WER 52.56% | BLEU-4 0.00
epoch   1 | iteration  3500 | Loss 1.483593 | Acc 81.67% | WER 45.83% | BLEU-4 0.00
epoch   1 | iteration  3600 | Loss 1.984924 | Acc 75.00% | WER 61.11% | BLEU-4 0.00
epoch   1 | iteration  3700 | Loss 2.125730 | Acc 76.67% | WER 47.78% | BLEU-4 0.00
epoch   1 | iteration  3800 | Loss 1.568081 | Acc 85.00% | WER 48.75% | BLEU-4 0.00
epoch   1 | iteration  3900 | Loss 1.958113 | Acc 80.00% | WER 35.34% | BLEU-4 16.76
epoch   1 | iteration  4000 | Loss 1.191971 | Acc 90.00% | WER 26.54% | BLEU-4 5.11
epoch   1 | iteration  4100 | Loss 1.610998 | Acc 85.00% | WER 36.06% | BLEU-4 12.70
epoch   1 | iteration  4200 | Loss 1.743295 | Acc 78.33% | WER 55.00% | BLEU-4 0.00
epoch   1 | iteration  4300 | Loss 0.706812 | Acc 91.67% | WER 35.00% | BLEU-4 0.00
epoch   1 | iteration  4400 | Loss 0.671231 | Acc 95.00% | WER 16.67% | BLEU-4 41.67
epoch   1 | iteration  4500 | Loss 0.838291 | Acc 95.00% | WER 19.84% | BLEU-4 16.67
epoch   1 | iteration  4600 | Loss 0.767575 | Acc 90.00% | WER 30.00% | BLEU-4 7.14
