Logging to file...
Dataset samples: 1200
######################Training Started######################
epoch   1 | iteration    10 | Loss 8.800497 | Acc 0.00% | WER 538.39%
epoch   1 | iteration    20 | Loss 8.278094 | Acc 3.33% | WER 97.50%
epoch   1 | iteration    30 | Loss 7.691105 | Acc 3.33% | WER 100.00%
epoch   1 | iteration    40 | Loss 7.288040 | Acc 3.33% | WER 100.00%
epoch   1 | iteration    50 | Loss 7.342952 | Acc 3.33% | WER 100.00%
epoch   1 | iteration    60 | Loss 6.888413 | Acc 3.33% | WER 370.95%
epoch   1 | iteration    70 | Loss 6.675963 | Acc 0.83% | WER 386.98%
epoch   1 | iteration    80 | Loss 6.658481 | Acc 2.50% | WER 307.63%
epoch   1 | iteration    90 | Loss 6.477141 | Acc 3.33% | WER 100.00%
epoch   1 | iteration   100 | Loss 6.033050 | Acc 3.33% | WER 100.00%
epoch   1 | iteration   110 | Loss 6.452873 | Acc 0.83% | WER 224.17%
epoch   1 | iteration   120 | Loss 5.968369 | Acc 0.83% | WER 446.09%
epoch   1 | iteration   130 | Loss 6.250433 | Acc 3.33% | WER 85.62%
epoch   1 | iteration   140 | Loss 5.278294 | Acc 3.33% | WER 100.00%
epoch   1 | iteration   150 | Loss 5.356699 | Acc 3.33% | WER 95.00%
