Logging to file...
Dataset samples: 18801
######################Training Started######################
epoch   1 | iteration    20 | Loss 2.911291 | Acc 64.58% | WER 100.00%
epoch   1 | iteration    40 | Loss 2.949594 | Acc 62.29% | WER 100.00%
epoch   1 | iteration    60 | Loss 3.539187 | Acc 58.96% | WER 100.00%
epoch   1 | iteration    80 | Loss 2.997411 | Acc 61.88% | WER 100.00%
epoch   1 | iteration   100 | Loss 3.515980 | Acc 56.46% | WER 100.00%
epoch   1 | iteration   120 | Loss 3.049063 | Acc 61.46% | WER 100.00%
epoch   1 | iteration   140 | Loss 3.916738 | Acc 52.29% | WER 100.00%
epoch   1 | iteration   160 | Loss 3.116420 | Acc 60.62% | WER 100.00%
epoch   1 | iteration   180 | Loss 2.907691 | Acc 64.17% | WER 100.00%
epoch   1 | iteration   200 | Loss 2.988000 | Acc 62.71% | WER 100.00%
epoch   1 | iteration   220 | Loss 3.215026 | Acc 61.46% | WER 100.00%
epoch   1 | iteration   240 | Loss 2.660588 | Acc 67.92% | WER 100.00%
epoch   1 | iteration   260 | Loss 3.768816 | Acc 51.46% | WER 100.00%
epoch   1 | iteration   280 | Loss 3.201664 | Acc 62.08% | WER 100.00%
epoch   1 | iteration   300 | Loss 3.033169 | Acc 62.92% | WER 100.00%
