Logging to file...
Dataset samples: 20654
######################Training Started######################
epoch   1 | iteration  6100 | Loss 2.989488 | Acc 58.33% | WER 92.26% | BLEU-4 0.00
epoch   1 | iteration  6200 | Loss 2.098668 | Acc 75.00% | WER 77.78% | BLEU-4 0.00
epoch   1 | iteration  6300 | Loss 1.493850 | Acc 75.00% | WER 116.67% | BLEU-4 0.00
epoch   1 | iteration  6400 | Loss 2.824357 | Acc 68.33% | WER 86.11% | BLEU-4 0.00
epoch   1 | iteration  6500 | Loss 2.188436 | Acc 70.00% | WER 89.44% | BLEU-4 0.00
epoch   1 | iteration  6600 | Loss 2.037745 | Acc 71.67% | WER 94.44% | BLEU-4 0.00
epoch   1 | iteration  6700 | Loss 1.715165 | Acc 75.00% | WER 86.11% | BLEU-4 0.00
epoch   1 | iteration  6800 | Loss 3.042451 | Acc 60.00% | WER 88.69% | BLEU-4 0.00
epoch   1 | iteration  6900 | Loss 2.122874 | Acc 66.67% | WER 94.44% | BLEU-4 0.00
epoch   1 | iteration  7000 | Loss 3.753011 | Acc 56.67% | WER 92.12% | BLEU-4 0.00
epoch   1 | iteration  7100 | Loss 2.838872 | Acc 60.00% | WER 93.33% | BLEU-4 0.00
epoch   1 | iteration  7200 | Loss 4.273265 | Acc 46.67% | WER 87.59% | BLEU-4 0.00
epoch   1 | iteration  7300 | Loss 2.593455 | Acc 66.67% | WER 81.67% | BLEU-4 0.00
epoch   1 | iteration  7400 | Loss 3.194618 | Acc 56.67% | WER 89.20% | BLEU-4 0.00
epoch   1 | iteration  7500 | Loss 2.216316 | Acc 68.33% | WER 85.91% | BLEU-4 0.00
epoch   1 | iteration  7600 | Loss 2.101839 | Acc 73.33% | WER 79.80% | BLEU-4 0.00
epoch   1 | iteration  7700 | Loss 2.827504 | Acc 61.67% | WER 90.87% | BLEU-4 0.00
epoch   1 | iteration  7800 | Loss 1.876319 | Acc 73.33% | WER 88.75% | BLEU-4 0.00
epoch   1 | iteration  7900 | Loss 2.600942 | Acc 65.00% | WER 75.00% | BLEU-4 0.00
epoch   1 | iteration  8000 | Loss 1.733972 | Acc 76.67% | WER 81.25% | BLEU-4 0.00
epoch   1 | iteration  8100 | Loss 3.484636 | Acc 55.00% | WER 82.09% | BLEU-4 0.00
epoch   1 | iteration  8200 | Loss 1.794192 | Acc 73.33% | WER 72.50% | BLEU-4 0.00
epoch   1 | iteration  8300 | Loss 2.317250 | Acc 68.33% | WER 96.15% | BLEU-4 0.00
epoch   1 | iteration  8400 | Loss 2.531456 | Acc 63.33% | WER 83.46% | BLEU-4 0.00
epoch   1 | iteration  8500 | Loss 1.348777 | Acc 78.33% | WER 92.86% | BLEU-4 0.00
epoch   1 | iteration  8600 | Loss 2.352020 | Acc 68.33% | WER 88.46% | BLEU-4 0.00
epoch   1 | iteration  8700 | Loss 3.654358 | Acc 53.33% | WER 86.19% | BLEU-4 0.00
epoch   1 | iteration  8800 | Loss 2.105305 | Acc 70.00% | WER 88.31% | BLEU-4 0.00
epoch   1 | iteration  8900 | Loss 1.613371 | Acc 75.00% | WER 92.86% | BLEU-4 0.00
epoch   1 | iteration  9000 | Loss 2.408212 | Acc 61.67% | WER 87.12% | BLEU-4 0.00
epoch   1 | iteration  9100 | Loss 2.076490 | Acc 73.33% | WER 93.75% | BLEU-4 0.00
epoch   1 | iteration  9200 | Loss 3.031525 | Acc 56.67% | WER 89.01% | BLEU-4 0.00
